30 thg 9 2022 - 16:52:54.669 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='configuration/**']
30 thg 9 2022 - 16:52:54.669 [restartedMain] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/swagger*/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
30 thg 9 2022 - 16:52:54.670 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/swagger*/**']
30 thg 9 2022 - 16:52:54.670 [restartedMain] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/webjars/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
30 thg 9 2022 - 16:52:54.673 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/webjars/**']
30 thg 9 2022 - 16:52:54.673 [restartedMain] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
30 thg 9 2022 - 16:52:54.673 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/swagger-ui/**']
30 thg 9 2022 - 16:52:55.065 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
30 thg 9 2022 - 16:52:55.418 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
30 thg 9 2022 - 16:52:57.292 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
30 thg 9 2022 - 16:52:57.389 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
30 thg 9 2022 - 16:52:57.417 [restartedMain] INFO  com.mgz.SpringFlywayApplication - Started SpringFlywayApplication in 17.822 seconds (JVM running for 20.525)
30 thg 9 2022 - 16:53:20.390 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
30 thg 9 2022 - 16:53:20.391 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
30 thg 9 2022 - 16:53:20.393 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
30 thg 9 2022 - 16:53:20.602 [http-nio-8080-exec-1] INFO  LoggingServiceImpl - log Request: REQUEST method = [GET] path = [/course] 
30 thg 9 2022 - 16:53:21.015 [http-nio-8080-exec-1] INFO  LoggingServiceImpl - logResponse: RESPONSE  method = [GET] responseBody = [[Course(id=1, courseName=test123, instructor=test, email=test), Course(id=2, courseName=test, instructor=test, email=test), Course(id=3, courseName=test33, instructor=test, email=test), Course(id=4, courseName=test, instructor=test, email=test), Course(id=5, courseName=test, instructor=test, email=test), Course(id=6, courseName=test, instructor=test, email=test), Course(id=7, courseName=test, instructor=test, email=test), Course(id=8, courseName=test, instructor=test, email=test), Course(id=9, courseName=test, instructor=test, email=test)]]
30 thg 9 2022 - 16:53:42.365 [http-nio-8080-exec-3] INFO  LoggingServiceImpl - log Request: REQUEST method = [GET] path = [/course] 
30 thg 9 2022 - 16:53:42.374 [http-nio-8080-exec-3] INFO  LoggingServiceImpl - logResponse: RESPONSE  method = [GET] responseBody = [[Course(id=1, courseName=test123, instructor=test, email=test), Course(id=2, courseName=test, instructor=test, email=test), Course(id=3, courseName=test33, instructor=test, email=test), Course(id=4, courseName=test, instructor=test, email=test), Course(id=5, courseName=test, instructor=test, email=test), Course(id=6, courseName=test, instructor=test, email=test), Course(id=7, courseName=test, instructor=test, email=test), Course(id=8, courseName=test, instructor=test, email=test), Course(id=9, courseName=test, instructor=test, email=test)]]
30 thg 9 2022 - 17:04:43.256 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
30 thg 9 2022 - 17:04:43.315 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
30 thg 9 2022 - 17:04:43.366 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
